key_resp.keys,key_resp.corr,key_resp.rt,present_segment.thisRepN,present_segment.thisTrialN,present_segment.thisN,present_segment.thisIndex,present_segment.ran,pictures,answer,clock,segment,participant,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,compare_segment.thisRepN,compare_segment.thisTrialN,compare_segment.thisN,compare_segment.thisIndex,compare_segment.ran,item_a,item_b,clock_conditions.thisRepN,clock_conditions.thisTrialN,clock_conditions.thisN,clock_conditions.thisIndex,clock_conditions.ran,present,compare
0.0,1.0,0.960545,0.0,0.0,0.0,0.0,1.0,insole_11s.jpg,0.0,Blue.png,1.0,1,,,,,,,,,,,,,,,,,
0.0,1.0,0.645605,0.0,1.0,1.0,1.0,1.0,tupperware_09s.jpg,0.0,Purple.png,1.0,1,,,,,,,,,,,,,,,,,
0.0,1.0,0.77103,0.0,2.0,2.0,2.0,1.0,tupperware_09s.jpg,0.0,Red.png,1.0,1,,,,,,,,,,,,,,,,,
0.0,1.0,0.62689,0.0,3.0,3.0,3.0,1.0,fox_13s.jpg,0.0,Orange.png,1.0,1,,,,,,,,,,,,,,,,,
1.0,1.0,0.651865,0.0,4.0,4.0,4.0,1.0,tupperware_09s.jpg,1.0,Yellow.png,1.0,1,,,,,,,,,,,,,,,,,
0.0,1.0,0.585725,0.0,5.0,5.0,5.0,1.0,lavender_10s.jpg,0.0,Green.png,1.0,1,,,,,,,,,,,,,,,,,
0.0,0.0,1.01029,0.0,6.0,6.0,6.0,1.0,tupperware_09s.jpg,1.0,Blue.png,2.0,1,,,,,,,,,,,,,,,,,
0.0,1.0,0.68525,0.0,7.0,7.0,7.0,1.0,poinsettia_04s.jpg,0.0,Purple.png,2.0,1,,,,,,,,,,,,,,,,,
0.0,1.0,0.552265,0.0,8.0,8.0,8.0,1.0,margarita_03s.jpg,0.0,Red.png,2.0,1,,,,,,,,,,,,,,,,,
0.0,1.0,0.620385,0.0,9.0,9.0,9.0,1.0,toothpaste_12s.jpg,0.0,Orange.png,2.0,1,,,,,,,,,,,,,,,,,
0.0,1.0,0.569905,0.0,10.0,10.0,10.0,1.0,ladder_15s.jpg,0.0,Yellow.png,2.0,1,,,,,,,,,,,,,,,,,
0.0,1.0,0.56445,0.0,11.0,11.0,11.0,1.0,pocketknife_12s.jpg,0.0,Green.png,2.0,1,,,,,,,,,,,,,,,,,
0.0,1.0,0.499565,0.0,12.0,12.0,12.0,1.0,spoon02a.jpg,0.0,Blue.png,3.0,1,,,,,,,,,,,,,,,,,
0.0,1.0,0.532675,0.0,13.0,13.0,13.0,1.0,mango_09s.jpg,0.0,Purple.png,3.0,1,,,,,,,,,,,,,,,,,
0.0,1.0,0.673905,0.0,14.0,14.0,14.0,1.0,chalice_10s.jpg,0.0,Red.png,3.0,1,,,,,,,,,,,,,,,,,
1.0,0.0,0.887475,0.0,15.0,15.0,15.0,1.0,pocketknife_12s.jpg,0.0,Orange.png,3.0,1,,,,,,,,,,,,,,,,,
0.0,1.0,0.558795,0.0,16.0,16.0,16.0,1.0,abacus_12s.jpg,0.0,Yellow.png,3.0,1,,,,,,,,,,,,,,,,,
0.0,1.0,0.78705,0.0,17.0,17.0,17.0,1.0,abacus_12s.jpg,0.0,Green.png,3.0,1,,,,,,,,,,,,,,,,,
1.0,1.0,0.8167,0.0,18.0,18.0,18.0,1.0,abacus_12s.jpg,1.0,Blue.png,4.0,1,,,,,,,,,,,,,,,,,
1.0,1.0,1.68258,0.0,19.0,19.0,19.0,1.0,abacus_12s.jpg,1.0,Purple.png,4.0,1,,,,,,,,,,,,,,,,,
0.0,1.0,0.64802,0.0,20.0,20.0,20.0,1.0,sushi_08s.jpg,0.0,Red.png,4.0,1,,,,,,,,,,,,,,,,,
0.0,1.0,0.531655,0.0,21.0,21.0,21.0,1.0,funnel_01b.jpg,0.0,Orange.png,4.0,1,,,,,,,,,,,,,,,,,
0.0,1.0,0.684785,0.0,22.0,22.0,22.0,1.0,rooster_03s.jpg,0.0,Yellow.png,4.0,1,,,,,,,,,,,,,,,,,
0.0,1.0,1.085345,0.0,23.0,23.0,23.0,1.0,ukulele_02s.jpg,0.0,Green.png,4.0,1,,,,,,,,,,,,,,,,,
0.0,1.0,0.854325,0.0,24.0,24.0,24.0,1.0,pocketknife_12s.jpg,0.0,Blue.png,5.0,1,,,,,,,,,,,,,,,,,
1.0,0.0,0.945185,0.0,25.0,25.0,25.0,1.0,pocketknife_12s.jpg,0.0,Purple.png,5.0,1,,,,,,,,,,,,,,,,,
0.0,0.0,1.49227,0.0,26.0,26.0,26.0,1.0,pocketknife_12s.jpg,1.0,Red.png,5.0,1,,,,,,,,,,,,,,,,,
0.0,1.0,0.58444,0.0,27.0,27.0,27.0,1.0,stapler_01b.jpg,0.0,Orange.png,5.0,1,,,,,,,,,,,,,,,,,
0.0,1.0,0.63697,0.0,28.0,28.0,28.0,1.0,birthday_cake_09s.jpg,0.0,Yellow.png,5.0,1,,,,,,,,,,,,,,,,,
0.0,1.0,0.52109,0.0,29.0,29.0,29.0,1.0,meatball_13s.jpg,0.0,Green.png,5.0,1,,,,,,,,,,,,,,,,,
0.0,1.0,0.62604,0.0,30.0,30.0,30.0,1.0,cape_11s.jpg,0.0,Blue.png,6.0,1,,,,,,,,,,,,,,,,,
0.0,1.0,0.72238,0.0,31.0,31.0,31.0,1.0,cape_11s.jpg,0.0,Purple.png,6.0,1,,,,,,,,,,,,,,,,,
0.0,1.0,0.64138,0.0,32.0,32.0,32.0,1.0,lizard_10n.jpg,0.0,Red.png,6.0,1,,,,,,,,,,,,,,,,,
0.0,1.0,0.664335,0.0,33.0,33.0,33.0,1.0,refrigerator_07s.jpg,0.0,Orange.png,6.0,1,,,,,,,,,,,,,,,,,
0.0,1.0,0.780985,0.0,34.0,34.0,34.0,1.0,refrigerator_07s.jpg,0.0,Yellow.png,6.0,1,,,,,,,,,,,,,,,,,
0.0,1.0,0.804375,0.0,35.0,35.0,35.0,1.0,touchpad_11s.jpg,0.0,Green.png,6.0,1,,,,,,,,,,,,,,,,,
