key_resp.keys,key_resp.corr,key_resp.rt,present_segment.thisRepN,present_segment.thisTrialN,present_segment.thisN,present_segment.thisIndex,present_segment.ran,pictures,answer,clock,segment,participant,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,compare_segment.thisRepN,compare_segment.thisTrialN,compare_segment.thisN,compare_segment.thisIndex,compare_segment.ran,item_a,item_b,clock_conditions.thisRepN,clock_conditions.thisTrialN,clock_conditions.thisN,clock_conditions.thisIndex,clock_conditions.ran,present,compare
0.0,1.0,1.967295,0.0,0.0,0.0,0.0,1.0,mirror_12s.jpg,0.0,Blue.png,1.0,55,,,,,,,,,,,,,,,,,
0.0,1.0,1.437685,0.0,1.0,1.0,1.0,1.0,polaroid_05s.jpg,0.0,Purple.png,1.0,55,,,,,,,,,,,,,,,,,
,0.0,,0.0,2.0,2.0,2.0,1.0,polaroid_05s.jpg,1.0,Red.png,1.0,55,,,,,,,,,,,,,,,,,
0.0,1.0,0.757115,0.0,3.0,3.0,3.0,1.0,slingshot_07s.jpg,0.0,Orange.png,1.0,55,,,,,,,,,,,,,,,,,
1.0,1.0,0.755355,0.0,4.0,4.0,4.0,1.0,polaroid_05s.jpg,1.0,Yellow.png,1.0,55,,,,,,,,,,,,,,,,,
0.0,1.0,0.81824,0.0,5.0,5.0,5.0,1.0,kettle_08s.jpg,0.0,Green.png,1.0,55,,,,,,,,,,,,,,,,,
0.0,1.0,1.089785,0.0,6.0,6.0,6.0,1.0,crystal_ball_12s.jpg,0.0,Blue.png,2.0,55,,,,,,,,,,,,,,,,,
0.0,1.0,1.559225,0.0,7.0,7.0,7.0,1.0,iron_13s.jpg,0.0,Purple.png,2.0,55,,,,,,,,,,,,,,,,,
0.0,1.0,1.210115,0.0,8.0,8.0,8.0,1.0,saddle_06s.jpg,0.0,Red.png,2.0,55,,,,,,,,,,,,,,,,,
0.0,1.0,1.553995,0.0,9.0,9.0,9.0,1.0,mango_09s.jpg,0.0,Orange.png,2.0,55,,,,,,,,,,,,,,,,,
0.0,1.0,1.00648,0.0,10.0,10.0,10.0,1.0,ostrich_06s.jpg,0.0,Yellow.png,2.0,55,,,,,,,,,,,,,,,,,
1.0,1.0,0.766785,0.0,11.0,11.0,11.0,1.0,iron_13s.jpg,1.0,Green.png,2.0,55,,,,,,,,,,,,,,,,,
0.0,1.0,0.852775,0.0,12.0,12.0,12.0,1.0,stethoscope_01b.jpg,0.0,Blue.png,3.0,55,,,,,,,,,,,,,,,,,
0.0,1.0,0.77654,0.0,13.0,13.0,13.0,1.0,ruby_15s.jpg,0.0,Purple.png,3.0,55,,,,,,,,,,,,,,,,,
1.0,0.0,0.906225,0.0,14.0,14.0,14.0,1.0,mango_09s.jpg,0.0,Red.png,3.0,55,,,,,,,,,,,,,,,,,
0.0,1.0,1.62414,0.0,15.0,15.0,15.0,1.0,target_11s.jpg,0.0,Orange.png,3.0,55,,,,,,,,,,,,,,,,,
1.0,1.0,1.70962,0.0,16.0,16.0,16.0,1.0,mango_09s.jpg,1.0,Yellow.png,3.0,55,,,,,,,,,,,,,,,,,
