key_resp.keys,key_resp.corr,key_resp.rt,present_segment.thisRepN,present_segment.thisTrialN,present_segment.thisN,present_segment.thisIndex,present_segment.ran,pictures,answer,clock,segment,participant,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,compare_segment.thisRepN,compare_segment.thisTrialN,compare_segment.thisN,compare_segment.thisIndex,compare_segment.ran,item_a,item_b,clock_conditions.thisRepN,clock_conditions.thisTrialN,clock_conditions.thisN,clock_conditions.thisIndex,clock_conditions.ran,present,compare
0.0,1.0,1.20191,0.0,0.0,0.0,0.0,1.0,lamppost_09s.jpg,0.0,Blue.png,1.0,0,,,,,,,,,,,,,,,,,
0.0,1.0,0.86604,0.0,1.0,1.0,1.0,1.0,mushroom_10n.jpg,0.0,Purple.png,1.0,0,,,,,,,,,,,,,,,,,
0.0,1.0,2.00472,0.0,2.0,2.0,2.0,1.0,mushroom_10n.jpg,0.0,Red.png,1.0,0,,,,,,,,,,,,,,,,,
0.0,1.0,1.699145,0.0,3.0,3.0,3.0,1.0,megaphone_03s.jpg,0.0,Orange.png,1.0,0,,,,,,,,,,,,,,,,,
0.0,1.0,1.394855,0.0,4.0,4.0,4.0,1.0,popsicle_02s.jpg,0.0,Yellow.png,1.0,0,,,,,,,,,,,,,,,,,
0.0,1.0,1.01092,0.0,5.0,5.0,5.0,1.0,kangaroo_02s.jpg,0.0,Green.png,1.0,0,,,,,,,,,,,,,,,,,
,0.0,,0.0,6.0,6.0,6.0,1.0,kangaroo_02s.jpg,0.0,Blue.png,2.0,0,,,,,,,,,,,,,,,,,
0.0,1.0,0.812465,0.0,7.0,7.0,7.0,1.0,ivy_12s.jpg,0.0,Purple.png,2.0,0,,,,,,,,,,,,,,,,,
1.0,1.0,1.229205,0.0,8.0,8.0,8.0,1.0,kangaroo_02s.jpg,1.0,Red.png,2.0,0,,,,,,,,,,,,,,,,,
0.0,1.0,0.752945,0.0,9.0,9.0,9.0,1.0,peanut_butter_08s.jpg,0.0,Orange.png,2.0,0,,,,,,,,,,,,,,,,,
0.0,1.0,0.632145,0.0,10.0,10.0,10.0,1.0,spoon02a.jpg,0.0,Yellow.png,2.0,0,,,,,,,,,,,,,,,,,
