key_resp.keys,key_resp.corr,key_resp.rt,present_segment.thisRepN,present_segment.thisTrialN,present_segment.thisN,present_segment.thisIndex,present_segment.ran,pictures,answer,clock,segment,participant,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,compare_segment.thisRepN,compare_segment.thisTrialN,compare_segment.thisN,compare_segment.thisIndex,compare_segment.ran,item_a,item_b,clock_conditions.thisRepN,clock_conditions.thisTrialN,clock_conditions.thisN,clock_conditions.thisIndex,clock_conditions.ran,present,compare
0.0,1.0,0.904575,0.0,0.0,0.0,0.0,1.0,mailbox_11s.jpg,0.0,Blue.png,1.0,108,,,,,,,,,,,,,,,,,
0.0,1.0,1.40908,0.0,1.0,1.0,1.0,1.0,mailbox_11s.jpg,0.0,Purple.png,1.0,108,,,,,,,,,,,,,,,,,
0.0,1.0,1.009665,0.0,2.0,2.0,2.0,1.0,checkbook_11s.jpg,0.0,Red.png,1.0,108,,,,,,,,,,,,,,,,,
0.0,1.0,1.34431,0.0,3.0,3.0,3.0,1.0,rocking_chair_05s.jpg,0.0,Orange.png,1.0,108,,,,,,,,,,,,,,,,,
1.0,1.0,0.629515,0.0,4.0,4.0,4.0,1.0,checkbook_11s.jpg,1.0,Yellow.png,1.0,108,,,,,,,,,,,,,,,,,
1.0,1.0,0.64803,0.0,5.0,5.0,5.0,1.0,rocking_chair_05s.jpg,1.0,Green.png,1.0,108,,,,,,,,,,,,,,,,,
0.0,1.0,1.709245,0.0,6.0,6.0,6.0,1.0,eggshell_14s.jpg,0.0,Blue.png,2.0,108,,,,,,,,,,,,,,,,,
1.0,1.0,0.819785,0.0,7.0,7.0,7.0,1.0,rocking_chair_05s.jpg,1.0,Purple.png,2.0,108,,,,,,,,,,,,,,,,,
0.0,1.0,1.225565,0.0,8.0,8.0,8.0,1.0,powder_07s.jpg,0.0,Red.png,2.0,108,,,,,,,,,,,,,,,,,
0.0,1.0,1.143445,0.0,9.0,9.0,9.0,1.0,meatball_13s.jpg,0.0,Orange.png,2.0,108,,,,,,,,,,,,,,,,,
0.0,1.0,0.8947,0.0,10.0,10.0,10.0,1.0,rolling_pin_02s.jpg,0.0,Yellow.png,2.0,108,,,,,,,,,,,,,,,,,
0.0,1.0,1.00061,0.0,11.0,11.0,11.0,1.0,gingerbread_man_03s.jpg,0.0,Green.png,2.0,108,,,,,,,,,,,,,,,,,
0.0,1.0,1.07071,0.0,12.0,12.0,12.0,1.0,rocking_chair_05s.jpg,0.0,Blue.png,3.0,108,,,,,,,,,,,,,,,,,
0.0,1.0,0.869445,0.0,13.0,13.0,13.0,1.0,bowler_hat_10s.jpg,0.0,Purple.png,3.0,108,,,,,,,,,,,,,,,,,
1.0,1.0,0.92177,0.0,14.0,14.0,14.0,1.0,rocking_chair_05s.jpg,1.0,Red.png,3.0,108,,,,,,,,,,,,,,,,,
0.0,1.0,1.061755,0.0,15.0,15.0,15.0,1.0,rocking_chair_05s.jpg,0.0,Orange.png,3.0,108,,,,,,,,,,,,,,,,,
1.0,1.0,0.71316,0.0,16.0,16.0,16.0,1.0,rocking_chair_05s.jpg,1.0,Yellow.png,3.0,108,,,,,,,,,,,,,,,,,
0.0,1.0,1.364945,0.0,17.0,17.0,17.0,1.0,projector_08s.jpg,0.0,Green.png,3.0,108,,,,,,,,,,,,,,,,,
0.0,1.0,1.142285,0.0,18.0,18.0,18.0,1.0,checkbook_11s.jpg,0.0,Blue.png,4.0,108,,,,,,,,,,,,,,,,,
0.0,1.0,1.22677,0.0,19.0,19.0,19.0,1.0,checkbook_11s.jpg,0.0,Purple.png,4.0,108,,,,,,,,,,,,,,,,,
0.0,1.0,0.83893,0.0,20.0,20.0,20.0,1.0,crab_16s.jpg,0.0,Red.png,4.0,108,,,,,,,,,,,,,,,,,
1.0,1.0,0.51136,0.0,21.0,21.0,21.0,1.0,checkbook_11s.jpg,1.0,Orange.png,4.0,108,,,,,,,,,,,,,,,,,
0.0,1.0,1.09134,0.0,22.0,22.0,22.0,1.0,peanut_butter_08s.jpg,0.0,Yellow.png,4.0,108,,,,,,,,,,,,,,,,,
0.0,1.0,0.99136,0.0,23.0,23.0,23.0,1.0,breadstick_08s.jpg,0.0,Green.png,4.0,108,,,,,,,,,,,,,,,,,
0.0,1.0,1.01905,0.0,24.0,24.0,24.0,1.0,stethoscope_01b.jpg,0.0,Blue.png,5.0,108,,,,,,,,,,,,,,,,,
0.0,1.0,0.810135,0.0,25.0,25.0,25.0,1.0,pineapple_12s.jpg,0.0,Purple.png,5.0,108,,,,,,,,,,,,,,,,,
1.0,1.0,1.04169,0.0,26.0,26.0,26.0,1.0,stethoscope_01b.jpg,1.0,Red.png,5.0,108,,,,,,,,,,,,,,,,,
1.0,1.0,0.408205,0.0,27.0,27.0,27.0,1.0,pineapple_12s.jpg,1.0,Orange.png,5.0,108,,,,,,,,,,,,,,,,,
0.0,1.0,0.706165,0.0,28.0,28.0,28.0,1.0,air_pump_05s.jpg,0.0,Yellow.png,5.0,108,,,,,,,,,,,,,,,,,
0.0,1.0,0.9061,0.0,29.0,29.0,29.0,1.0,birdcage_08s.jpg,0.0,Green.png,5.0,108,,,,,,,,,,,,,,,,,
0.0,1.0,0.924855,0.0,30.0,30.0,30.0,1.0,kangaroo_02s.jpg,0.0,Blue.png,6.0,108,,,,,,,,,,,,,,,,,
0.0,1.0,1.251485,0.0,31.0,31.0,31.0,1.0,juicer2_06s.jpg,0.0,Purple.png,6.0,108,,,,,,,,,,,,,,,,,
