key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,key_resp_8.keys,key_resp_8.rt,key_resp_9.keys,key_resp_9.rt,key_resp_10.keys,key_resp_10.rt,key_resp_11.keys,key_resp_11.rt,key_resp_12.keys,key_resp_12.rt,key_resp_13.keys,key_resp_13.rt,key_resp_14.keys,key_resp_14.rt,key_resp_15.keys,key_resp_15.rt,key_resp_16.keys,key_resp_16.rt,key_resp_17.keys,key_resp_17.rt,key_resp_18.keys,key_resp_18.rt,key_resp_19.keys,key_resp_19.rt,key_resp_20.keys,key_resp_20.rt,key_resp_21.keys,key_resp_21.corr,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,pictures,answer,clock,segment,participant,key_resp_21.rt,key_resp_22.keys,key_resp_22.corr,key_resp_22.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,item_a,item_b,key_resp_23.keys,key_resp_23.rt,key_resp.keys,key_resp.corr,key_resp.rt,present_segment.thisRepN,present_segment.thisTrialN,present_segment.thisN,present_segment.thisIndex,present_segment.ran,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,compare_segment.thisRepN,compare_segment.thisTrialN,compare_segment.thisN,compare_segment.thisIndex,compare_segment.ran,clock_conditions.thisRepN,clock_conditions.thisTrialN,clock_conditions.thisN,clock_conditions.thisIndex,clock_conditions.ran,present,compare
space,3.7523,space,1.521,0.0,4.7105,0.0,2.1792,1.0,0.5931,0.0,0.8276,0.0,1.4298,0.0,1.285,0.0,3.1937,0.0,0.8991,1.0,0.9935,0.0,1.0349,0.0,1.0471,0.0,0.697,space,1.8147,1.0,1.8896,0.0,3.6227,space,1.4668,,0.0,0.0,0.0,0.0,0.0,1.0,whipped_cream_02s.jpg,0.0,Blue.png,1.0,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,0.0,1.0,1.0,1.0,1.0,sheep_02s.jpg,0.0,Purple.png,1.0,43,0.7418,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,0.0,2.0,2.0,2.0,1.0,sheep_02s.jpg,0.0,Red.png,1.0,43,1.0914,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,0.0,3.0,3.0,3.0,1.0,sequin_02s.jpg,0.0,Orange.png,1.0,43,0.5699,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,0.0,4.0,4.0,4.0,1.0,sheep_02s.jpg,1.0,Yellow.png,1.0,43,0.9265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,0.0,5.0,5.0,5.0,1.0,scoop_05s.jpg,0.0,Green.png,1.0,43,0.5854,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,0.0,6.0,6.0,6.0,1.0,wagon_12s.jpg,0.0,Blue.png,2.0,43,0.6462,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,0.0,7.0,7.0,7.0,1.0,scrabble_05s.jpg,0.0,Purple.png,2.0,43,0.7257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,8.0,8.0,8.0,1.0,wagon_12s.jpg,1.0,Red.png,2.0,43,1.2834,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,0.0,9.0,9.0,9.0,1.0,scrabble_05s.jpg,1.0,Orange.png,2.0,43,2.3329,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,0.0,10.0,10.0,10.0,1.0,weasel_08s.jpg,0.0,Yellow.png,2.0,43,1.3247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,0.0,11.0,11.0,11.0,1.0,scooter_06s.jpg,0.0,Green.png,2.0,43,2.3308,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,0.0,12.0,12.0,12.0,1.0,wetsuit_04s.jpg,0.0,Blue.png,3.0,43,1.4367,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,0.0,13.0,13.0,13.0,1.0,wetsuit_04s.jpg,0.0,Purple.png,3.0,43,0.986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,0.0,14.0,14.0,14.0,1.0,wetsuit_04s.jpg,1.0,Red.png,3.0,43,1.2457,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,0.0,15.0,15.0,15.0,1.0,water_fountain_01b.jpg,0.0,Orange.png,3.0,43,0.8427,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,0.0,16.0,16.0,16.0,1.0,waffle_iron_11s.jpg,0.0,Yellow.png,3.0,43,0.624,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,0.0,17.0,17.0,17.0,1.0,wing_08s.jpg,0.0,Green.png,3.0,43,0.5116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,0.0,18.0,18.0,18.0,1.0,shield_02s.jpg,0.0,Blue.png,4.0,43,0.5616,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,0.0,19.0,19.0,19.0,1.0,shovel_09s.jpg,0.0,Purple.png,4.0,43,0.6658,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,0.0,20.0,20.0,20.0,1.0,watch_09s.jpg,0.0,Red.png,4.0,43,0.5583,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,0.0,21.0,21.0,21.0,1.0,shovel_09s.jpg,1.0,Orange.png,4.0,43,0.9571,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,0.0,22.0,22.0,22.0,1.0,shovel_09s.jpg,0.0,Yellow.png,4.0,43,0.8161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,0.0,23.0,23.0,23.0,1.0,watering_can_14s.jpg,0.0,Green.png,4.0,43,0.5623,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,0.0,24.0,24.0,24.0,1.0,wasp_13n.jpg,0.0,Blue.png,5.0,43,0.4985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,0.0,25.0,25.0,25.0,1.0,shoelace_13s.jpg,0.0,Purple.png,5.0,43,0.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,0.0,26.0,26.0,26.0,1.0,scarf_16s.jpg,0.0,Red.png,5.0,43,0.7728,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,0.0,27.0,27.0,27.0,1.0,screwdriver_07s.jpg,0.0,Orange.png,5.0,43,0.7645,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
